"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1745900,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
1800912,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
1810914,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
1830918,00000011,false,Rx,0,4,00,70,00,F8,00,00,00,00
1840920,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
1845921,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
1860925,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
1900933,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
1910935,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
1930940,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
1945943,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
2000954,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2010956,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2030961,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
2040963,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
2045964,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
2060967,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
2100976,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2110978,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2130982,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
2145985,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
2200997,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2210999,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2231003,00000011,false,Rx,0,4,00,73,00,F8,00,00,00,00
2241005,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
2246006,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
2261010,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
2301018,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2311020,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2331025,00000011,false,Rx,0,4,00,73,00,F8,00,00,00,00
2346028,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
2401039,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2411042,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2431046,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
2441048,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
2446049,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
2461052,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
2501061,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2511063,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2531067,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
2546070,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
2601082,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2611084,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2631088,00000011,false,Rx,0,4,00,70,00,F8,00,00,00,00
2641090,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
2646091,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
2661095,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
2701103,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2711105,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2731110,00000011,false,Rx,0,4,00,75,00,F8,00,00,00,00
2746113,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
2801124,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2811127,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2831131,00000011,false,Rx,0,4,00,70,00,F8,00,00,00,00
2841133,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
2846134,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
2861137,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
2901146,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
2911148,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
2931152,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
2946155,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3001167,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3011169,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3031173,00000011,false,Rx,0,4,00,69,00,F8,00,00,00,00
3041175,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
3046177,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3061180,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
3101188,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3111190,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3131195,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
3146198,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
3201209,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3211212,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3231216,00000011,false,Rx,0,4,00,70,00,F8,00,00,00,00
3241218,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
3246219,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3261222,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
3301231,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3311233,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3331237,00000011,false,Rx,0,4,00,73,00,F8,00,00,00,00
3346240,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3401252,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3411254,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3431258,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
3441260,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
3446262,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3461265,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
3501273,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3511275,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3531280,00000011,false,Rx,0,4,00,69,00,F8,00,00,00,00
3546283,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3601294,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3611297,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3631301,00000011,false,Rx,0,4,00,66,00,F8,00,00,00,00
3641303,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
3646304,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
3661307,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
3701316,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3711318,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3731322,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
3746325,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3801337,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3811339,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3831343,00000011,false,Rx,0,4,00,73,00,F8,00,00,00,00
3841345,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
3846347,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
3861350,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
3901358,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
3911360,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
3931365,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
3946368,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
4001379,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
4011382,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
4031386,00000011,false,Rx,0,4,00,70,00,F8,00,00,00,00
4041388,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
4046389,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
4061392,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
4101401,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
4111403,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
4131407,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
4146410,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
4201422,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
