Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,B0,B1,B2,B3,B4,B5,B6,B7,,
13580090,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
13585091,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
13600094,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
13640102,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
13650104,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
13670109,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
13685112,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
13740124,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
13750126,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
13770130,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
13780132,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
13785133,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
13800136,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
13840145,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
13850147,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
13870151,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
13885154,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
13940166,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
13950168,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
